id,title,channel,durationSeconds,published
yANs1P1EIJw,"Watched https://www.youtube.com/watch?v=yANs1P1EIJw","Unknown",2746,"2018-01-01T07:56:59.620Z"
79GnBpNuVBo,"Watched https://www.youtube.com/watch?v=79GnBpNuVBo","Unknown",1879,"2018-01-01T07:25:34.061Z"
N6FmFZkkeR8,"Watched https://www.youtube.com/watch?v=N6FmFZkkeR8","Unknown",363,"2018-01-01T07:22:48.177Z"
oX4fDnqMZ6c,"Watched https://www.youtube.com/watch?v=oX4fDnqMZ6c","Unknown",349,"2018-01-01T07:16:42.569Z"
0TXhWuIVFRA,"Watched https://www.youtube.com/watch?v=0TXhWuIVFRA","Unknown",390,"2018-01-01T07:10:27.112Z"
xN-AvNQcsRA,"Watched https://www.youtube.com/watch?v=xN-AvNQcsRA","Unknown",534,"2018-01-01T07:10:01.787Z"
tyQAVqf8jnA,"Watched https://www.youtube.com/watch?v=tyQAVqf8jnA","Unknown",848,"2018-01-01T03:46:32.706Z"
jOwtqud_Ld8,"Watched https://www.youtube.com/watch?v=jOwtqud_Ld8","Unknown",787,"2018-01-01T03:24:16.591Z"
XPuTZMp-HE8,"Watched https://www.youtube.com/watch?v=XPuTZMp-HE8","Unknown",295,"2018-01-01T03:19:28.992Z"
yHzPS7t8jeE,"Watched https://www.youtube.com/watch?v=yHzPS7t8jeE","Unknown",229,"2018-01-01T02:55:51.558Z"
9Pu0eky0oLs,"Watched https://www.youtube.com/watch?v=9Pu0eky0oLs","Unknown",476,"2018-01-01T02:48:18.562Z"
ZuOzdW14gKw,"Watched https://www.youtube.com/watch?v=ZuOzdW14gKw","Unknown",290,"2018-01-01T02:42:08.659Z"
HoCBudoWS8w,"Watched https://www.youtube.com/watch?v=HoCBudoWS8w","Unknown",208,"2018-01-01T02:41:25.952Z"
UH5n3GUP0Eg,"Watched https://www.youtube.com/watch?v=UH5n3GUP0Eg","Unknown",129,"2018-01-01T02:39:05.832Z"
8_y39pIFk6M,"Watched https://www.youtube.com/watch?v=8_y39pIFk6M","Unknown",334,"2018-01-01T02:00:50.295Z"
mEoHfOlIvC8,"Watched https://www.youtube.com/watch?v=mEoHfOlIvC8","Unknown",565,"2018-01-01T01:58:13.758Z"
KB7noUcA1T0,"Watched https://www.youtube.com/watch?v=KB7noUcA1T0","Unknown",810,"2018-01-01T01:54:32.969Z"
t-O-Qdh7VvQ,"Watched https://www.youtube.com/watch?v=t-O-Qdh7VvQ","Unknown",382,"2017-12-31T23:39:04.727Z"
FVIpgSUNyBw,"Watched https://www.youtube.com/watch?v=FVIpgSUNyBw","Unknown",515,"2017-12-31T23:38:25.341Z"
vRqSpGWHelU,"Watched https://www.youtube.com/watch?v=vRqSpGWHelU","Unknown",453,"2017-12-31T23:32:17.544Z"
Q62WHDEqhAs,"Watched https://www.youtube.com/watch?v=Q62WHDEqhAs","Unknown",265,"2017-12-31T23:32:02.008Z"
UiaqBdzCcBA,"Watched https://www.youtube.com/watch?v=UiaqBdzCcBA","Unknown",524,"2017-12-31T23:23:02.015Z"
d3NSk330yBo,"Watched https://www.youtube.com/watch?v=d3NSk330yBo","Unknown",184,"2017-12-31T23:20:41.103Z"
pwnr-o2s0sc,"Watched https://www.youtube.com/watch?v=pwnr-o2s0sc","Unknown",907,"2017-12-31T18:53:45.554Z"
CvcvMkFGBi8,"Watched https://www.youtube.com/watch?v=CvcvMkFGBi8","Unknown",319,"2017-12-31T06:42:36.927Z"
O6BODAJVYc8,"Watched https://www.youtube.com/watch?v=O6BODAJVYc8","Unknown",407,"2017-12-31T06:35:11.072Z"
O16BNjOnOLE,"Watched https://www.youtube.com/watch?v=O16BNjOnOLE","Unknown",701,"2017-12-31T06:23:22.413Z"
iH7IwiHFVMs,"Watched https://www.youtube.com/watch?v=iH7IwiHFVMs","Unknown",472,"2017-12-31T06:19:36.138Z"
Qr2FlrUBs4E,"Watched https://www.youtube.com/watch?v=Qr2FlrUBs4E","Unknown",507,"2017-12-31T05:50:12.797Z"
WytffmZQGwA,"Watched https://www.youtube.com/watch?v=WytffmZQGwA","Unknown",557,"2017-12-31T05:42:33.640Z"
1FkGX3xGlog,"Watched https://www.youtube.com/watch?v=1FkGX3xGlog","Unknown",394,"2017-12-31T05:35:08.419Z"
rdNImXpzjvY,"Watched https://www.youtube.com/watch?v=rdNImXpzjvY","Unknown",987,"2017-12-31T05:32:53.860Z"
q7ROkvQyDCM,"Watched https://www.youtube.com/watch?v=q7ROkvQyDCM","Unknown",657,"2017-12-31T05:25:31.167Z"
a52ZSCIAoRk,"Watched https://www.youtube.com/watch?v=a52ZSCIAoRk","Unknown",237,"2017-12-31T05:11:44.595Z"
0gxBjM-YRv4,"Watched https://www.youtube.com/watch?v=0gxBjM-YRv4","Unknown",113,"2017-12-31T02:19:27.134Z"
vM0OIkJbfeQ,"Watched https://www.youtube.com/watch?v=vM0OIkJbfeQ","Unknown",368,"2017-12-31T02:11:59.530Z"
uZbaYeYGYRQ,"Watched https://www.youtube.com/watch?v=uZbaYeYGYRQ","Unknown",491,"2017-12-30T21:08:23.549Z"
FzpurxjwmsM,"Watched https://www.youtube.com/watch?v=FzpurxjwmsM","Unknown",599,"2017-12-30T21:07:35.246Z"
WI91PtAMsWQ,"Watched https://www.youtube.com/watch?v=WI91PtAMsWQ","Unknown",238,"2017-12-30T17:45:43.455Z"
sswtRgTd7wg,"Watched https://www.youtube.com/watch?v=sswtRgTd7wg","Unknown",1005,"2017-12-30T17:37:10.052Z"
Pb5YR6wpg7g,"Watched https://www.youtube.com/watch?v=Pb5YR6wpg7g","Unknown",278,"2017-12-30T17:31:16.007Z"
4RBpVX2qInA,"Watched https://www.youtube.com/watch?v=4RBpVX2qInA","Unknown",479,"2017-12-30T16:39:36.669Z"
tjCJ3MlFt7g,"Watched https://www.youtube.com/watch?v=tjCJ3MlFt7g","Unknown",501,"2017-12-30T16:37:07.416Z"
P6M0K85-Wzk,"Watched https://www.youtube.com/watch?v=P6M0K85-Wzk","Unknown",744,"2017-12-30T16:24:20.711Z"
p_4BqxGumkU,"Watched https://www.youtube.com/watch?v=p_4BqxGumkU","Unknown",426,"2017-12-30T16:23:42.602Z"
YKlfVe4qxyk,"Watched https://www.youtube.com/watch?v=YKlfVe4qxyk","Unknown",538,"2017-12-30T16:17:33.282Z"
kyItrFoBm1o,"Watched https://www.youtube.com/watch?v=kyItrFoBm1o","Unknown",394,"2017-12-30T16:12:15.989Z"
5B2-Qptfs9Q,"Watched https://www.youtube.com/watch?v=5B2-Qptfs9Q","Unknown",1118,"2017-12-30T00:53:28.274Z"
VX2_FiQGWM0,"Watched https://www.youtube.com/watch?v=VX2_FiQGWM0","Unknown",139,"2017-12-30T00:51:37.339Z"
QbDuBTWrU-o,"Watched https://www.youtube.com/watch?v=QbDuBTWrU-o","Unknown",344,"2017-12-30T00:43:00.919Z"
