id,title,channel,durationSeconds,published
NtmjT4L_T0o,"Watched https://www.youtube.com/watch?v=NtmjT4L_T0o","Unknown",1333,"2019-12-31T14:40:59.814Z"
iNlRe1xiRM8,"Watched https://www.youtube.com/watch?v=iNlRe1xiRM8","Unknown",4219,"2019-12-31T02:17:42.216Z"
rQCAHMVJlcQ,"Watched https://www.youtube.com/watch?v=rQCAHMVJlcQ","Unknown",1250,"2019-12-31T00:53:40.652Z"
Cf9kwDsQutg,"Watched https://www.youtube.com/watch?v=Cf9kwDsQutg","Unknown",1689,"2019-12-31T00:40:11.728Z"
Dnt3UZvx3N0,"Watched https://www.youtube.com/watch?v=Dnt3UZvx3N0","Unknown",357,"2019-12-30T19:18:26.470Z"
8yF23FDIxYM,"Watched https://www.youtube.com/watch?v=8yF23FDIxYM","Unknown",251,"2019-12-30T19:17:13.567Z"
5-n_pPbAYbg,"Watched https://www.youtube.com/watch?v=5-n_pPbAYbg","Unknown",305,"2019-12-30T07:17:15.940Z"
WyrhmqHfdu8,"Watched https://www.youtube.com/watch?v=WyrhmqHfdu8","Unknown",1211,"2019-12-30T07:08:24.763Z"
Lbx62DYg_0o,"Watched https://www.youtube.com/watch?v=Lbx62DYg_0o","Unknown",813,"2019-12-30T07:06:21.410Z"
SFZb7qRmiyA,"Watched https://www.youtube.com/watch?v=SFZb7qRmiyA","Unknown",544,"2019-12-30T06:55:55.160Z"
3GLZAIaXudk,"Watched https://www.youtube.com/watch?v=3GLZAIaXudk","Unknown",610,"2019-12-30T06:47:53.795Z"
TBzCCoUOYuM,"Watched https://www.youtube.com/watch?v=TBzCCoUOYuM","Unknown",703,"2019-12-30T06:39:11.123Z"
MmyIqXtwtrQ,"Watched https://www.youtube.com/watch?v=MmyIqXtwtrQ","Unknown",606,"2019-12-30T06:30:34.604Z"
g0L_o-CamJI,"Watched https://www.youtube.com/watch?v=g0L_o-CamJI","Unknown",676,"2019-12-30T06:18:20.026Z"
pgzEI4kvJFo,"Watched https://www.youtube.com/watch?v=pgzEI4kvJFo","Unknown",782,"2019-12-30T06:14:50.514Z"
9gaNcAthEVU,"Watched https://www.youtube.com/watch?v=9gaNcAthEVU","Unknown",749,"2019-12-30T05:57:47.284Z"
F7f4XT9zsYA,"Watched https://www.youtube.com/watch?v=F7f4XT9zsYA","Unknown",777,"2019-12-30T05:44:43.279Z"
PVJWmm_AQyg,"Watched https://www.youtube.com/watch?v=PVJWmm_AQyg","Unknown",1394,"2019-12-30T05:26:02.684Z"
WmttEadO-H4,"Watched https://www.youtube.com/watch?v=WmttEadO-H4","Unknown",1003,"2019-12-30T05:05:02.290Z"
gR92Op3tIgw,"Watched https://www.youtube.com/watch?v=gR92Op3tIgw","Unknown",570,"2019-12-30T05:00:05.764Z"
rVpABCxiDaU,"Watched https://www.youtube.com/watch?v=rVpABCxiDaU","Unknown",1299,"2019-12-30T04:34:35.269Z"
y1vZ6JT1s8Q,"Watched https://www.youtube.com/watch?v=y1vZ6JT1s8Q","Unknown",680,"2019-12-30T04:23:18.296Z"
Hs2LY5NYL0I,"Watched https://www.youtube.com/watch?v=Hs2LY5NYL0I","Unknown",623,"2019-12-30T04:12:42.844Z"
ROFRjeCcda4,"Watched https://www.youtube.com/watch?v=ROFRjeCcda4","Unknown",1208,"2019-12-30T03:57:43.049Z"
gdqkqjDZphA,"Watched https://www.youtube.com/watch?v=gdqkqjDZphA","Unknown",1465,"2019-12-30T03:31:09.490Z"
WliOsHc3-Tk,"Watched https://www.youtube.com/watch?v=WliOsHc3-Tk","Unknown",1128,"2019-12-30T02:57:26.234Z"
a8XjcHioVRg,"Watched https://www.youtube.com/watch?v=a8XjcHioVRg","Unknown",822,"2019-12-30T02:43:15.283Z"
8Dbmn-Cgezs,"Watched https://www.youtube.com/watch?v=8Dbmn-Cgezs","Unknown",1369,"2019-12-29T22:43:35.323Z"
pbcMptj4LUA,"Watched https://www.youtube.com/watch?v=pbcMptj4LUA","Unknown",1241,"2019-12-29T22:27:01.697Z"
AvwtESN530E,"Watched https://www.youtube.com/watch?v=AvwtESN530E","Unknown",1310,"2019-12-29T22:06:33.633Z"
Ec0vVdMrhyQ,"Watched https://www.youtube.com/watch?v=Ec0vVdMrhyQ","Unknown",2234,"2019-12-29T21:30:52.295Z"
-BvoHibCt_s,"Watched https://www.youtube.com/watch?v=-BvoHibCt_s","Unknown",2216,"2019-12-29T21:27:52.587Z"
lYH19A1AvII,"Watched https://www.youtube.com/watch?v=lYH19A1AvII","Unknown",1526,"2019-12-29T17:50:56.211Z"
Nt6YFCpIK0k,"Watched https://www.youtube.com/watch?v=Nt6YFCpIK0k","Unknown",802,"2019-12-29T17:34:50.361Z"
kubERteR0Nw,"Watched https://www.youtube.com/watch?v=kubERteR0Nw","Unknown",816,"2019-12-29T17:21:06.258Z"
5oBXPWyIVq8,"Watched https://www.youtube.com/watch?v=5oBXPWyIVq8","Unknown",2136,"2019-12-29T07:33:30.110Z"
7bjugVOjF7I,"Watched https://www.youtube.com/watch?v=7bjugVOjF7I","Unknown",1148,"2019-12-29T07:21:05.483Z"
YeR0er6QWBQ,"Watched https://www.youtube.com/watch?v=YeR0er6QWBQ","Unknown",1018,"2019-12-29T07:04:43.588Z"
-fwusYZGOqc,"Watched https://www.youtube.com/watch?v=-fwusYZGOqc","Unknown",950,"2019-12-29T06:48:46.655Z"
Rqbsrj6-FgM,"Watched https://www.youtube.com/watch?v=Rqbsrj6-FgM","Unknown",678,"2019-12-29T06:39:15.760Z"
1FGkZaVOYJM,"Watched https://www.youtube.com/watch?v=1FGkZaVOYJM","Unknown",745,"2019-12-29T06:26:43.641Z"
aNx2WFEUTr4,"Watched https://www.youtube.com/watch?v=aNx2WFEUTr4","Unknown",1176,"2019-12-29T06:13:14.291Z"
z7EBv6LMhN4,"Watched https://www.youtube.com/watch?v=z7EBv6LMhN4","Unknown",1152,"2019-12-29T05:53:54.749Z"
PnSZ1fN2RNM,"Watched https://www.youtube.com/watch?v=PnSZ1fN2RNM","Unknown",1270,"2019-12-29T05:33:06.120Z"
xY5vxLsO_Dc,"Watched https://www.youtube.com/watch?v=xY5vxLsO_Dc","Unknown",677,"2019-12-29T05:03:08.427Z"
oyFDIdJfU5k,"Watched https://www.youtube.com/watch?v=oyFDIdJfU5k","Unknown",913,"2019-12-29T04:52:55.301Z"
AHNBMe3Wgis,"Watched https://www.youtube.com/watch?v=AHNBMe3Wgis","Unknown",991,"2019-12-29T04:37:58.773Z"
2uCsqPvBtHA,"Watched I Just Bought A FAKE Lamborghini For $300","Tavarish",777,"2019-12-29T04:26:50.678Z"
esJDi6ONUtQ,"Watched Discovery Mode/Problems Pairing | Samsung Galaxy Buds","Omarr Ghafoor",221,"2019-12-29T03:50:13.363Z"
qmnfbDyCzPk,"Watched How to reset | Samsung Galaxy Buds","Omarr Ghafoor",106,"2019-12-29T03:48:57.139Z"
ETVjjbAoRxU,"Watched https://www.youtube.com/watch?v=ETVjjbAoRxU","Unknown",1194,"2019-12-29T00:01:34.314Z"
tU5pgqVV4QM,"Watched The Best Stuffed Crust GARLIC BREAD Pizza | SAM THE COOKING GUY 4K","SAM THE COOKING GUY",1363,"2019-12-28T23:08:01.864Z"
F2b47rRHOJw,"Watched https://www.youtube.com/watch?v=F2b47rRHOJw","Unknown",1260,"2019-12-28T22:46:54.591Z"
f4c5wxGbivY,"Watched https://www.youtube.com/watch?v=f4c5wxGbivY","Unknown",296,"2019-12-28T22:24:39.852Z"
Z-JdfXxNflg,"Watched https://www.youtube.com/watch?v=Z-JdfXxNflg","Unknown",825,"2019-12-28T22:17:09.952Z"
ttJcANQgQv0,"Watched https://www.youtube.com/watch?v=ttJcANQgQv0","Unknown",1372,"2019-12-28T21:55:25.561Z"
A2Kkj0dvZtw,"Watched That Time When UPS Overnight Shipped a Whale in the Mail","RealLifeLore",441,"2019-12-28T21:48:16.983Z"
5sLHS_0EDRY,"Watched Trying Dangerous Life Hacks 2","William Osman",901,"2019-12-28T21:44:25.678Z"
r5KidgLsaeQ,"Watched The Best Munchies - 6 Quick & Easy Recipes | SAM THE COOKING GUY 4K","SAM THE COOKING GUY",1910,"2019-12-28T20:34:16.809Z"
n0wvDwSnzcw,"Watched Making the world's most expensive carbonated water!","NileRed",1585,"2019-12-28T20:03:23.632Z"
eeW1DU05j7U,"Watched https://www.youtube.com/watch?v=eeW1DU05j7U","Unknown",649,"2019-12-28T08:19:00.677Z"
BF8VrAKOkvk,"Watched Going Inside This Massive Drain","Mobile Instinct",403,"2019-12-28T08:12:38.355Z"
kz_HcIb6EfY,"Watched Why Its Illegal To Cut Off Mattress Tags (and Other Crazy Laws)","The Infographics Show",646,"2019-12-28T07:54:20.553Z"
iW9EUIS4SVw,"Watched https://www.youtube.com/watch?v=iW9EUIS4SVw","Unknown",802,"2019-12-28T07:43:00.251Z"
H0msk-ZokMw,"Watched https://www.youtube.com/watch?v=H0msk-ZokMw","Unknown",271,"2019-12-28T07:37:40.164Z"
1WDesu7bUDM,"Watched https://www.youtube.com/watch?v=1WDesu7bUDM","Unknown",928,"2019-12-28T03:52:20.885Z"
5aieAX9pdgI,"Watched Mac & Cheese Bun / Roll / Cheesy Thing from Heaven | SAM THE COOKING GUY 4K","SAM THE COOKING GUY",1073,"2019-12-28T03:40:22.848Z"
CBDfZbPy1sA,"Watched Better-Than-In-N-Out (!!!) Animal Style TOTS | SAM THE COOKING GUY 4K","SAM THE COOKING GUY",1116,"2019-12-28T03:24:24.086Z"
