id,title,channel,durationSeconds,published
NvmsHeljihE,"Watched https://www.youtube.com/watch?v=NvmsHeljihE","Unknown",429,"2025-04-24T06:30:43.694Z"
HCjwP_6FvOU,"Watched https://www.youtube.com/watch?v=HCjwP_6FvOU","Unknown",12441,"2025-04-23T08:56:36.287Z"
S1Ai0Af6RqE,"Watched https://www.youtube.com/watch?v=S1Ai0Af6RqE","Unknown",2087,"2025-04-23T08:21:43.859Z"
lo7abqRFPbg,"Watched https://www.youtube.com/watch?v=lo7abqRFPbg","Unknown",1579,"2025-04-23T06:49:27.035Z"
u6dB8Nq8mMI,"Watched https://www.youtube.com/watch?v=u6dB8Nq8mMI","Unknown",14105,"2025-04-22T12:09:21.900Z"
3vDJ3981kgI,"Watched https://www.youtube.com/watch?v=3vDJ3981kgI","Unknown",13589,"2025-04-22T08:22:47.023Z"
4EdMImlZE2s,"Watched https://www.youtube.com/watch?v=4EdMImlZE2s","Unknown",3960,"2025-04-22T06:09:12.302Z"
QSMDb1CWD6Y,"Watched https://www.youtube.com/watch?v=QSMDb1CWD6Y","Unknown",1167,"2025-04-22T04:17:09.487Z"
9IuHQbBXtrw,"Watched https://www.youtube.com/watch?v=9IuHQbBXtrw","Unknown",13572,"2025-04-21T13:00:15.552Z"
6wzpkS9wN94,"Watched https://www.youtube.com/watch?v=6wzpkS9wN94","Unknown",11164,"2025-04-21T09:54:05.841Z"
UxXm7T_Cl7g,"Watched https://www.youtube.com/watch?v=UxXm7T_Cl7g","Unknown",2965,"2025-04-21T09:04:35.058Z"
2eSlPcsUqko,"Watched https://www.youtube.com/watch?v=2eSlPcsUqko","Unknown",1341,"2025-04-21T08:41:51.126Z"
2eSlPcsUqko,"Watched https://www.youtube.com/watch?v=2eSlPcsUqko","Unknown",1341,"2025-04-21T08:41:51.126Z"
p2YRJ85Jh3A,"Watched https://www.youtube.com/watch?v=p2YRJ85Jh3A","Unknown",3678,"2025-04-20T17:20:49.255Z"
UpVCJGu_Pk8,"Watched https://www.youtube.com/watch?v=UpVCJGu_Pk8","Unknown",13541,"2025-04-20T15:10:00.148Z"
HCjwP_6FvOU,"Watched https://www.youtube.com/watch?v=HCjwP_6FvOU","Unknown",12441,"2025-04-23T08:56:36.287Z"
M62kajY-ln0,"Watched https://www.youtube.com/watch?v=M62kajY-ln0","Unknown",9893,"2025-04-20T08:57:35.422Z"
TM3LaOdpBeI,"Watched https://www.youtube.com/watch?v=TM3LaOdpBeI","Unknown",8880,"2025-04-20T06:08:20.270Z"
yJMk6keEBFk,"Watched https://www.youtube.com/watch?v=yJMk6keEBFk","Unknown",2920,"2025-04-20T05:20:37.847Z"
G2abHvXOqa8,"Watched https://www.youtube.com/watch?v=G2abHvXOqa8","Unknown",14232,"2025-04-20T05:18:03.440Z"
c3QRkI-EEgM,"Watched https://www.youtube.com/watch?v=c3QRkI-EEgM","Unknown",1067,"2025-04-20T04:37:20.336Z"
wPWx6GISIhY,"Watched https://www.youtube.com/watch?v=wPWx6GISIhY","Unknown",1746,"2025-04-20T04:08:17.758Z"
Z4_jb21cIdM,"Watched https://www.youtube.com/watch?v=Z4_jb21cIdM","Unknown",1233,"2025-04-20T04:06:45.500Z"
kZP4OoYgvaA,"Watched https://www.youtube.com/watch?v=kZP4OoYgvaA","Unknown",4770,"2025-04-20T02:22:39.534Z"
p2YRJ85Jh3A,"Watched https://www.youtube.com/watch?v=p2YRJ85Jh3A","Unknown",3678,"2025-04-20T17:20:49.255Z"
4u9hv91cWFI,"Watched https://www.youtube.com/watch?v=4u9hv91cWFI","Unknown",1486,"2025-04-19T21:45:56.825Z"
GCwIqoW0KBk,"Watched https://www.youtube.com/watch?v=GCwIqoW0KBk","Unknown",1366,"2025-04-19T21:45:55.872Z"
ovoyfZIYorA,"Watched https://www.youtube.com/watch?v=ovoyfZIYorA","Unknown",1396,"2025-04-19T21:45:54.417Z"
K30kmmIpdN0,"Watched https://www.youtube.com/watch?v=K30kmmIpdN0","Unknown",1599,"2025-04-19T21:45:53.642Z"
BTkx8CamFbI,"Watched https://www.youtube.com/watch?v=BTkx8CamFbI","Unknown",874,"2025-04-19T21:45:52.764Z"
TjPV3pZUpS4,"Watched https://www.youtube.com/watch?v=TjPV3pZUpS4","Unknown",1846,"2025-04-19T21:24:01.885Z"
H6Qd3Joo7Ac,"Watched https://www.youtube.com/watch?v=H6Qd3Joo7Ac","Unknown",1390,"2025-04-19T16:19:49.327Z"
UDmWJxGMUY4,"Watched https://www.youtube.com/watch?v=UDmWJxGMUY4","Unknown",2356,"2025-04-19T15:25:41.999Z"
nTCisubop54,"Watched https://www.youtube.com/watch?v=nTCisubop54","Unknown",4805,"2025-04-19T07:33:24.586Z"
g5zkr72gVJ8,"Watched https://www.youtube.com/watch?v=g5zkr72gVJ8","Unknown",4472,"2025-04-19T06:33:17.222Z"
RpR8DDOK1r0,"Watched https://www.youtube.com/watch?v=RpR8DDOK1r0","Unknown",233,"2025-04-19T02:31:47.319Z"
5YMAqqCYe00,"Watched https://www.youtube.com/watch?v=5YMAqqCYe00","Unknown",3698,"2025-04-19T02:01:09.681Z"
zBWNYM2K8Zo,"Watched https://www.youtube.com/watch?v=zBWNYM2K8Zo","Unknown",7937,"2025-04-18T05:38:35.493Z"
J0lL1XXo3hI,"Watched https://www.youtube.com/watch?v=J0lL1XXo3hI","Unknown",2756,"2025-04-18T04:52:31.886Z"
ofb-fxTdrdw,"Watched https://www.youtube.com/watch?v=ofb-fxTdrdw","Unknown",2453,"2025-04-17T07:14:58.523Z"
Uh82MoW6NmQ,"Watched https://www.youtube.com/watch?v=Uh82MoW6NmQ","Unknown",3337,"2025-04-17T07:13:24.790Z"
uWnmir9aY-w,"Watched https://www.youtube.com/watch?v=uWnmir9aY-w","Unknown",3203,"2025-04-17T07:12:28.649Z"
_Lw4kCURo9Y,"Watched https://www.youtube.com/watch?v=_Lw4kCURo9Y","Unknown",2558,"2025-04-17T06:28:28.764Z"
-D5iBAuXxeQ,"Watched https://www.youtube.com/watch?v=-D5iBAuXxeQ","Unknown",1056,"2025-04-16T03:48:15.429Z"
YoYjkNQ27T8,"Watched https://www.youtube.com/watch?v=YoYjkNQ27T8","Unknown",3314,"2025-04-15T05:23:33.870Z"
nTCisubop54,"Watched https://www.youtube.com/watch?v=nTCisubop54","Unknown",4805,"2025-04-19T07:33:24.586Z"
cTNLOIQHi4U,"Watched https://www.youtube.com/watch?v=cTNLOIQHi4U","Unknown",3904,"2025-04-13T08:42:51.589Z"
cTNLOIQHi4U,"Watched https://www.youtube.com/watch?v=cTNLOIQHi4U","Unknown",3904,"2025-04-13T08:42:51.589Z"
73kgQEIx70E,"Watched https://www.youtube.com/watch?v=73kgQEIx70E","Unknown",1314,"2025-04-12T22:07:51.696Z"
