id,title,channel,durationSeconds,published
HzZGVPZaZWw,"Watched https://www.youtube.com/watch?v=HzZGVPZaZWw","Unknown",260,"2016-12-31T10:26:55.850Z"
bMCwoHNm_d4,"Watched https://www.youtube.com/watch?v=bMCwoHNm_d4","Unknown",265,"2016-12-31T10:22:23.305Z"
6XCcWlgVqHA,"Watched https://www.youtube.com/watch?v=6XCcWlgVqHA","Unknown",231,"2016-12-31T02:03:04.282Z"
7BurNCK5Pc8,"Watched https://www.youtube.com/watch?v=7BurNCK5Pc8","Unknown",260,"2016-12-31T01:58:43.025Z"
RhmUnk454MA,"Watched https://www.youtube.com/watch?v=RhmUnk454MA","Unknown",252,"2016-12-31T01:57:04.371Z"
W1BEGz7Zsfg,"Watched https://www.youtube.com/watch?v=W1BEGz7Zsfg","Unknown",228,"2016-12-31T01:56:17.338Z"
4Cb4FoQecOc,"Watched https://www.youtube.com/watch?v=4Cb4FoQecOc","Unknown",465,"2016-12-29T21:40:51.120Z"
e41ov5z4eBE,"Watched https://www.youtube.com/watch?v=e41ov5z4eBE","Unknown",790,"2016-12-29T12:17:44.547Z"
UhT5-iF2IiU,"Watched https://www.youtube.com/watch?v=UhT5-iF2IiU","Unknown",237,"2016-12-29T11:19:52.389Z"
ImkuUN2mSdw,"Watched https://www.youtube.com/watch?v=ImkuUN2mSdw","Unknown",190,"2016-12-29T11:16:11.881Z"
POkWUXZgv-Q,"Watched https://www.youtube.com/watch?v=POkWUXZgv-Q","Unknown",159,"2016-12-29T08:21:44.510Z"
4VMohfF-rlM,"Watched https://www.youtube.com/watch?v=4VMohfF-rlM","Unknown",944,"2016-12-29T08:11:10.263Z"
bQx9pvQ5pJc,"Watched https://www.youtube.com/watch?v=bQx9pvQ5pJc","Unknown",481,"2016-12-29T08:10:19.793Z"
CohbJ1as0uU,"Watched https://www.youtube.com/watch?v=CohbJ1as0uU","Unknown",1664,"2016-12-28T19:43:44.237Z"
99gAtzVRut0,"Watched https://www.youtube.com/watch?v=99gAtzVRut0","Unknown",543,"2016-12-28T19:37:02.504Z"
1FXVBYoo_qg,"Watched https://www.youtube.com/watch?v=1FXVBYoo_qg","Unknown",98,"2016-12-28T19:03:18.105Z"
MlqaPtMU5Xc,"Watched https://www.youtube.com/watch?v=MlqaPtMU5Xc","Unknown",153,"2016-12-28T18:59:23.282Z"
1818mjnzEO0,"Watched https://www.youtube.com/watch?v=1818mjnzEO0","Unknown",65,"2016-12-28T18:57:50.565Z"
C6urx3diCWo,"Watched https://www.youtube.com/watch?v=C6urx3diCWo","Unknown",552,"2016-12-28T18:54:06.232Z"
geym7L2EySs,"Watched https://www.youtube.com/watch?v=geym7L2EySs","Unknown",141,"2016-12-28T15:03:43.379Z"
l26D16-I-2o,"Watched https://www.youtube.com/watch?v=l26D16-I-2o","Unknown",224,"2016-12-28T15:02:50.623Z"
2Un5Gzd-FAE,"Watched https://www.youtube.com/watch?v=2Un5Gzd-FAE","Unknown",219,"2016-12-28T14:53:01.752Z"
CpswhO7czno,"Watched https://www.youtube.com/watch?v=CpswhO7czno","Unknown",94,"2016-12-28T14:50:04.391Z"
2ZHmw6JrpeA,"Watched https://www.youtube.com/watch?v=2ZHmw6JrpeA","Unknown",166,"2016-12-28T14:47:18.787Z"
3TNAsbFO-ZA,"Watched https://www.youtube.com/watch?v=3TNAsbFO-ZA","Unknown",364,"2016-12-28T14:28:15.676Z"
eJrFbucqdGE,"Watched https://www.youtube.com/watch?v=eJrFbucqdGE","Unknown",524,"2016-12-28T14:25:11.495Z"
i2ZhfBSLt5M,"Watched https://www.youtube.com/watch?v=i2ZhfBSLt5M","Unknown",460,"2016-12-28T14:22:52.850Z"
53gDQ02o9vE,"Watched https://www.youtube.com/watch?v=53gDQ02o9vE","Unknown",279,"2016-12-28T14:15:58.201Z"
ooX5Q-Oc1Yw,"Watched https://www.youtube.com/watch?v=ooX5Q-Oc1Yw","Unknown",933,"2016-12-28T14:15:10.343Z"
TJQQPKLMwAg,"Watched https://www.youtube.com/watch?v=TJQQPKLMwAg","Unknown",397,"2016-12-28T14:08:40.069Z"
15ua-qSqHMg,"Watched https://www.youtube.com/watch?v=15ua-qSqHMg","Unknown",501,"2016-12-28T13:56:56.254Z"
Mt5lKYdis1M,"Watched https://www.youtube.com/watch?v=Mt5lKYdis1M","Unknown",421,"2016-12-28T13:49:46.385Z"
CJt9JkqQYeI,"Watched https://www.youtube.com/watch?v=CJt9JkqQYeI","Unknown",500,"2016-12-28T13:45:27.795Z"
ZhtAJvbvPPA,"Watched https://www.youtube.com/watch?v=ZhtAJvbvPPA","Unknown",550,"2016-12-27T17:36:56.726Z"
DJOX0c60wQE,"Watched https://www.youtube.com/watch?v=DJOX0c60wQE","Unknown",693,"2016-12-27T16:58:42.161Z"
Pq_rAdzsm_o,"Watched https://www.youtube.com/watch?v=Pq_rAdzsm_o","Unknown",344,"2016-12-27T16:51:56.681Z"
z_WXIGaYX9Q,"Watched https://www.youtube.com/watch?v=z_WXIGaYX9Q","Unknown",620,"2016-12-27T16:50:35Z"
FHGJCSbIsIk,"Watched https://www.youtube.com/watch?v=FHGJCSbIsIk","Unknown",408,"2016-12-27T16:44:28.356Z"
tXjHb5QmDV0,"Watched https://www.youtube.com/watch?v=tXjHb5QmDV0","Unknown",1188,"2016-12-27T16:35:31.571Z"
kHrjgWoy8qY,"Watched https://www.youtube.com/watch?v=kHrjgWoy8qY","Unknown",436,"2016-12-27T16:35:24.941Z"
KPKf-Cf5IEg,"Watched https://www.youtube.com/watch?v=KPKf-Cf5IEg","Unknown",215,"2016-12-27T10:13:22.324Z"
qSZxwSJshUI,"Watched https://www.youtube.com/watch?v=qSZxwSJshUI","Unknown",395,"2016-12-27T10:10:08.927Z"
RhmUnk454MA,"Watched https://www.youtube.com/watch?v=RhmUnk454MA","Unknown",252,"2016-12-31T01:57:04.371Z"
Izl8zFCWSjA,"Watched https://www.youtube.com/watch?v=Izl8zFCWSjA","Unknown",160,"2016-12-27T10:03:35.559Z"
JVSyKRYDTsA,"Watched https://www.youtube.com/watch?v=JVSyKRYDTsA","Unknown",208,"2016-12-27T10:03:01.047Z"
PTgUXyg1w7I,"Watched https://www.youtube.com/watch?v=PTgUXyg1w7I","Unknown",397,"2016-12-27T05:09:00.615Z"
BOFDHX22nh4,"Watched https://www.youtube.com/watch?v=BOFDHX22nh4","Unknown",614,"2016-12-27T05:08:37.682Z"
BOkIqxwc5zs,"Watched https://www.youtube.com/watch?v=BOkIqxwc5zs","Unknown",1553,"2016-12-26T12:53:35.787Z"
wCfClc8ssOU,"Watched https://www.youtube.com/watch?v=wCfClc8ssOU","Unknown",403,"2016-12-26T12:50:21.049Z"
OO00COfYxNU,"Watched https://www.youtube.com/watch?v=OO00COfYxNU","Unknown",205,"2016-12-26T12:41:02.944Z"
TRYnRMX8BPQ,"Watched https://www.youtube.com/watch?v=TRYnRMX8BPQ","Unknown",458,"2016-12-26T12:38:03.298Z"
bQwB04mNbes,"Watched https://www.youtube.com/watch?v=bQwB04mNbes","Unknown",964,"2016-12-26T12:37:21.547Z"
o_Uslf0epbo,"Watched https://www.youtube.com/watch?v=o_Uslf0epbo","Unknown",85,"2016-12-26T12:29:48.692Z"
UAQkpcHM__I,"Watched https://www.youtube.com/watch?v=UAQkpcHM__I","Unknown",659,"2016-12-26T12:17:00.044Z"
voaVxLvhU0M,"Watched https://www.youtube.com/watch?v=voaVxLvhU0M","Unknown",723,"2016-12-26T12:11:22.174Z"
cqmej8bsmkU,"Watched https://www.youtube.com/watch?v=cqmej8bsmkU","Unknown",479,"2016-12-26T12:03:29.064Z"
6KNYofTQlHk,"Watched https://www.youtube.com/watch?v=6KNYofTQlHk","Unknown",837,"2016-12-26T11:54:24.598Z"
7_NQ-lH4mZQ,"Watched https://www.youtube.com/watch?v=7_NQ-lH4mZQ","Unknown",1130,"2016-12-26T11:23:11.281Z"
-GJ-Ah-dkpg,"Watched https://www.youtube.com/watch?v=-GJ-Ah-dkpg","Unknown",392,"2016-12-26T10:12:04.631Z"
K1nEhtKXNGU,"Watched https://www.youtube.com/watch?v=K1nEhtKXNGU","Unknown",714,"2016-12-26T09:45:26.951Z"
R_qlVwfnR4w,"Watched https://www.youtube.com/watch?v=R_qlVwfnR4w","Unknown",534,"2016-12-26T09:36:20.541Z"
Kp7kYAK3oMs,"Watched https://www.youtube.com/watch?v=Kp7kYAK3oMs","Unknown",631,"2016-12-26T09:25:36.663Z"
umCaTbczL-4,"Watched https://www.youtube.com/watch?v=umCaTbczL-4","Unknown",473,"2016-12-26T09:17:35.471Z"
Ct_3f9rXCQ4,"Watched https://www.youtube.com/watch?v=Ct_3f9rXCQ4","Unknown",440,"2016-12-26T09:11:12.294Z"
Hx42H0HOSzM,"Watched https://www.youtube.com/watch?v=Hx42H0HOSzM","Unknown",82,"2016-12-26T09:07:43.243Z"
VEnniDMeY8I,"Watched https://www.youtube.com/watch?v=VEnniDMeY8I","Unknown",58,"2016-12-26T09:00:35.078Z"
sGze6IC2orY,"Watched https://www.youtube.com/watch?v=sGze6IC2orY","Unknown",467,"2016-12-26T07:50:33.079Z"
m_q4utEawzA,"Watched https://www.youtube.com/watch?v=m_q4utEawzA","Unknown",442,"2016-12-26T07:49:57.618Z"
79nDqxfMTvI,"Watched https://www.youtube.com/watch?v=79nDqxfMTvI","Unknown",492,"2016-12-26T02:36:44.184Z"
HJvdJnJW83Y,"Watched https://www.youtube.com/watch?v=HJvdJnJW83Y","Unknown",231,"2016-12-25T09:07:17.496Z"
QsBT5EQt348,"Watched https://www.youtube.com/watch?v=QsBT5EQt348","Unknown",400,"2016-12-25T09:06:15.355Z"
hjSheQ7LgJ4,"Watched https://www.youtube.com/watch?v=hjSheQ7LgJ4","Unknown",393,"2016-12-25T09:04:56.166Z"
bXCCOo-uTeY,"Watched https://www.youtube.com/watch?v=bXCCOo-uTeY","Unknown",305,"2016-12-25T09:00:03.435Z"
JSc5e--9WrY,"Watched https://www.youtube.com/watch?v=JSc5e--9WrY","Unknown",545,"2016-12-25T08:52:33.371Z"
i-GsIPBEnp8,"Watched https://www.youtube.com/watch?v=i-GsIPBEnp8","Unknown",330,"2016-12-25T08:48:03.363Z"
Vh_d31rWt2o,"Watched https://www.youtube.com/watch?v=Vh_d31rWt2o","Unknown",631,"2016-12-25T08:40:14.979Z"
t9-IKTu3u8U,"Watched https://www.youtube.com/watch?v=t9-IKTu3u8U","Unknown",244,"2016-12-25T08:37:53.291Z"
YLtMYsepkec,"Watched https://www.youtube.com/watch?v=YLtMYsepkec","Unknown",251,"2016-12-25T08:34:10.904Z"
oMUXF4eG4j0,"Watched https://www.youtube.com/watch?v=oMUXF4eG4j0","Unknown",435,"2016-12-25T08:28:19.774Z"
6abLHka0vnA,"Watched NEW Bean Boozled Challenge (4th edition)  Dead Fish & Spoiled Milk : Crude Brothers","The Crude Brothers",858,"2016-12-25T07:57:23.183Z"
wKWUQxUI1Og,"Watched https://www.youtube.com/watch?v=wKWUQxUI1Og","Unknown",380,"2016-12-25T07:53:03.530Z"
G3f9_mOogi0,"Watched Call Kurtis They Fried My Engine At Walmart During Oil Change Sep 26 2012","CBS News Sacramento",168,"2016-12-25T07:48:20.035Z"
ekS4r6-uDhQ,"Watched https://www.youtube.com/watch?v=ekS4r6-uDhQ","Unknown",1243,"2016-12-25T02:50:43.270Z"
cbN37yRV-ZY,"Watched https://www.youtube.com/watch?v=cbN37yRV-ZY","Unknown",289,"2016-12-25T02:46:29.546Z"
MdIKvvU08g8,"Watched DIY PIZZA SPHERE","HellthyJunkFood",574,"2016-12-25T02:26:14.896Z"
ERRMoHfrjAI,"Watched How To Build A Vacuum Chamber  That Sucks","TKOR",410,"2016-12-25T02:19:52.099Z"
IgeOX2a1Sdo,"Watched https://www.youtube.com/watch?v=IgeOX2a1Sdo","Unknown",423,"2016-12-25T02:13:35.068Z"
T4IDl0ywnIs,"Watched Make Your Own Beef Jerky | Food Wishes","Food Wishes",358,"2016-12-25T02:08:51.687Z"
MXHVqId0MQc,"Watched https://www.youtube.com/watch?v=MXHVqId0MQc","Unknown",818,"2016-12-25T02:02:05.926Z"
cyTxxEhS4uc,"Watched iPhone in Molten Aluminum","TheBackyardScientist",281,"2016-12-25T01:59:03.043Z"
I0GwYQs6t6g,"Watched https://www.youtube.com/watch?v=I0GwYQs6t6g","Unknown",998,"2016-12-24T14:13:36.827Z"
9Dgv2NW99Ic,"Watched iOS 10.1.1 Beta Jailbreak Released! Everything You Need To Know!","EverythingApplePro E A P",610,"2016-12-24T14:12:02.533Z"
Mv-OTQzsLVk,"Watched https://www.youtube.com/watch?v=Mv-OTQzsLVk","Unknown",1021,"2016-12-22T08:03:00.424Z"
Y37-PfXZujM,"Watched COMPUTER DESTRUCTION (GONE DEADLY)","Linus Tech Tips",469,"2016-12-22T07:43:09.753Z"
8zfVGOy0AX8,"Watched https://www.youtube.com/watch?v=8zfVGOy0AX8","Unknown",84,"2016-12-22T07:41:44.250Z"
